photo_id,date_posted,caption,comments,likes,photo_src,is_video
BetCedmBOl0,2018-02-02 10:05:32,"Proud of your Magikarp-catching skills? With every Fisherman medal you achieve, a familiar Fisherman avatar item will be available for you to purchase in-game. Good luck—and don't get splashed!",8201,85,https://scontent-sjc3-1.cdninstagram.com/vp/87bead33c8fee2ea77efc77667c77b8c/5B5F2866/t51.2885-15/e35/27580955_154051591918550_4080603317888090112_n.jpg,False
Berk-ZKB903,2018-02-01 20:28:30,"Trainers, show off your fighting spirit! New Battle Girl avatar items are available for purchase once you achieve the Bronze, Silver, or Gold Battle Girl medals. #PokemonGO #Pokemon",12374,185,https://scontent-sjc3-1.cdninstagram.com/vp/c67b7145e0805d7652c04365b678f1f2/5B647A89/t51.2885-15/e35/27575752_1407438119366793_9194718862619181056_n.jpg,False
BerHVIhB-5g,2018-02-01 16:09:28,"Trainers, it's time to suit up! New avatar items are now available to purchase after you earn Battle Girl, Jogger, or Fisherman medals. #PokemonGO #Pokemon",14045,249,https://scontent-sjc3-1.cdninstagram.com/vp/c7b4187fd1cb063b3aae93d0394f0b42/5B64181A/t51.2885-15/e35/26871841_159605331488721_4788804147522568192_n.jpg,False
BeoYHqRhWic,2018-01-31 14:38:27,"Remember to pay attention to the weather when you're battling Kyogre, Trainers. If rain is appearing in-game, Kyogre's Water-type attacks will be even stronger! Good luck! #PokemonGOtip #PokemonGO #Pokemon 
#Kyogre",12098,166,https://scontent-sjc3-1.cdninstagram.com/vp/7c3a2d4f535e2d0ca26de79e51247a87/5B580B33/t51.2885-15/e35/26868693_513389629048424_8603879607780769792_n.jpg,False
BemATPlBc0a,2018-01-30 16:31:50,"Trainers, remember to think strategically when using your Charged TMs to teach Pokémon new Charged Attacks. Aggron can learn Charged Attacks of different types—Rock-type Stone Edge, Electric-type Thunder, or Steel-type Heavy Slam, so consider how you want to use it in battle when choosing the best TM! #PokemonGOtip #PokemonGO #Pokemon #Aggron",9959,114,https://scontent-sjc3-1.cdninstagram.com/vp/724cda9070185de886f9b2742493d03f/5B6C3C53/t51.2885-15/e35/27575828_349615212185583_3484534248877064192_n.jpg,False
BeggidIhRYI,2018-01-28 13:18:05,"As you're out exploring the real world for more Pokémon, remember to look for Whismur. Normally, Whismur's voice is very quiet—it's barely audible even if you're paying close attention. #PokemonGO #Pokemon #Whismur",9852,92,https://scontent-sjc3-1.cdninstagram.com/vp/69a865bc99fd2cb7878780724d27d5d4/5B3A2347/t51.2885-15/e35/27581325_1178632505600167_791386464893009920_n.jpg,False
BeeAkrzByzS,2018-01-27 14:00:18,"Looking to evolve Aron? With 125 Candies, Aron evolves into Aggron, a powerful Pokémon that mercilessly beats up anything that violates its environment!",11755,181,https://scontent-sjc3-1.cdninstagram.com/vp/53a706a474ccf5abeb1a9080f456c6ca/5AC600EE/t51.2885-15/e35/26869893_1153613348075109_1555677840836395008_n.jpg,False
BeWuw0uhOdA,2018-01-24 18:09:59,"New year, new loading screens! Refresh your phone's home screen by downloading the new loading screen in high resolution from the link in our bio.  #PokemonGO #Pokemon #2018",14694,135,https://scontent-sjc3-1.cdninstagram.com/vp/7536560516667ae23202ae50f282b6db/5B6D5F7B/t51.2885-15/e35/26333349_1235306209937396_1748154764392136704_n.jpg,False
BeTGBychBVP,2018-01-23 08:16:19,"Trainers, even more Pokémon originally from the Hoenn region are making their way into Pokémon GO! Click the link our bio to learn more. #Pokemon #PokemonGO",29635,460,https://scontent-sjc3-1.cdninstagram.com/vp/eb7929c5132ea3b1af2eac76208b7043/5B52E561/t51.2885-15/e35/26068699_2058898964355078_1202642219278794752_n.jpg,False
BeRHLe9BF6k,2018-01-22 13:47:54,"Mark your calendars, Trainers. The next #PokemonGOCommunityDay is coming your way on Feb 24, featuring the Dragon-type Pokémon Dratini! Learn more by clicking the link our bio. 
#Dratini",22756,628,https://scontent-sjc3-1.cdninstagram.com/vp/735921c3792f2763b48db7744ce25c31/5B5ABF9E/t51.2885-15/e35/26397083_1595369893843637_5181652088689524736_n.jpg,False
